Actif, Ensemble des biens et des valeurs financières d'une personne.
Fraude fiscale, Toute insuffisance, omission ou inexactitude dans la déclaration des revenus des contribuables. C'est un procédé illégal visant à éviter de payer de l'impôt.
Gain en capital, Profit réalisé lorsqu'on vend un bien (action, maison, entreprise, etc.) plus cher que le prix payé.
Garantie du fabricant, Garantie incluse dans le prix de vente qui couvre généralement un bien pendant un an, pièces et main-d'œuvre.
Garantie légale, Garantie qui s'applique automatiquement et gratuitement à tous les biens vendus au Québec. C'est une protection minimale prévue par la loi.
Garantie prolongée, Garantie supplémentaire vendue aux consommateurs et servant à prolonger la durée de la garantie du fabricant.
Immobilier, Bien qu'on ne peut pas dépla-cer, comme une maison, un immeuble ou un terrain.
Imposition, Action de taxer ou de soumettre à un impôt, à une taxe et, par extension, le résultat de cette action.
Impôt, Prélèvement effectué par l'Etat sur le revenu des contribuables pour financer les dépenses publiques et offrir des services (santé, éducation, transport, etc.).
Inflation, Augmentation générale des prix des biens et des services mesurée, notamment, à l'aide de l'indice des prix à la consommation.
Intérêt, Somme versée sur un prêt ou reçue sur certains investissements.
Intérêt composé, Intérêt calculé à la fois sur le capital et sur les intérêts générés par l'épargne.
Intérêt simple, Intérêt calculé uniquement sur le capital.
Lettre de motivation, Document servant à démontrer la volonté d'une personne à occuper un emploi.
Liquidité, Caractéristique d'un placement qu'on peut transformer rapidement et facilement en argent comptant.
Loi de l'offre et de la demande, Modèle économique qui stipule que le prix d'un produit est celui où il y a équilibre entre l'offre et la demande de ce produit.
Marché, Endroit (réel ou virtuel) où ont lieu les négociations et les échanges entre les vendeurs et les acheteurs.
Marché du travail, Endroit théorique où se rencontrent l'offre et la demande de travail. Deux acteurs sont indissociables de ce marché: les employeurs (qui demandent le travail) et les salariés (qui offrent leur travail).
Marché noir, Réseau organisé qui commercialise des produits illicites, comme des armes ou des drogues, ou encore des produits legaux, mais fortement taxés, comme l'alcool et les cigarettes.
Marge de crédit, Contrat de crédit variable dans lequel une institution financière met un certain montant d'argent à la disposition d'une personne pour qu'elle puisse l'emprunter au besoin.
Norme du travail, Règle encadrant les conditions de travail.
Obligation, Valeur mobilière représentant la dette d'une entreprise ou d'un gouvernement envers la personne qui la détient.
Offre, Quantité de biens et de services que les commerçants souhaitent vendre en fonction du prix.
Palier d'imposition, Tranche de revenu assujettie à un taux d'imposition déterminé, dans le contexte d'un impôt progressif.
Passif, Ensemble des dettes et des obligations financières d'une personne.
Pointage de crédit, Évaluation du dossier de crédit selon une échelle variant de 300 à 900 points. Plus le pointage est élevé, plus le risque qu'une personne soit insolvable est faible.
Pourboire, Somme d'argent donnée volontairement au personnel par un client et récompensant généralement la qualité du service rendu.
Pouvoir d'achat, Notion économique qui tente de mesurer la quantité de biens et de services qu'un revenu permet d'acquérir.
Précaire, Se dit d'un emploi qui n'offre aucune garantie de durée ou de stabilité.
Prêt hypothécaire, Prêt garanti par le bien qu'il finance, c'est-à-dire par une maison, un immeuble ou un terrain.
Prêt personnel à versements constants, Entente permettant d'emprunter une somme et de la rembourser graduellement grâce à des versements périodiques.
Prêt personnel simple, Entente entre un prêteur et un emprunteur selon laquelle ce dernier emprunte une somme et s'engage à la remettre, avec les intérêts, à une date convenue.
Profil d'investisseur, Profil qui caractérise la tolérance au risque et les objectifs financiers de différents investisseurs. On distingue généralement trois profils: prudent, modéré et audacieux.
Proposition de consommateur, Solution au surendettement qui consiste à offrir un arrangement à tous les créanciers afin de réduire la pression des dettes sur le budget.
Publicité informative, Publicité qui décrit un produit, ses caractéristiques et ses utilisations possibles.
Publicité persuasive, Publicité qui cherche à nous convaincre qu'un produit est meilleur qu'un autre, qu'il peut nous rendre plus heureux, nous aider à projeter une image de réussite, etc.
Publicité sociétale, Publicité qui vise à sensibiliser la population à certains enjeux de société.
Qualification, Valeur professionnelle des travailleurs, qui inclut leur formation, leur expérience, ainsi que la nature de leur travail et de leurs responsabilités.
Ratio d'endettement, Rapport entre le montant des dettes à rembourser chaque mois (incluant le loyer, s'il y a lieu) et le revenu mensuel brut (avant déductions).
Réaménagement budgétaire, Solution au surendettement qui consiste à réévaluer son budget en mettant sur pied un plan d'urgence pour une période donnée.
Régime de pension agréé, Fonds de pension auquel employeurs et employés contribuent par des versements dans une caisse de retraite.
Régime de rentes du Québec, Régime qui permet d'offrir auxw travailleurs du Québec, et à leurs proches, une protection financière de base à la retraite, au décès ou en cas d'invalidité.
Régime enregistré d'épargne-études, Placement permettant de générer des revenus à l'abri de l'impôt et de recevoir des subventions gouvernementales. Les revenus et les subventions sont destinés aux études des enfants.
Régime enregistré d'épargne-retraite, Placement permettant de générer des revenus à l'abri de l'impôt et dont les fonds sont généralement utilisés pour la retraite.
Régime québécois d'assurance parentale, Régime qui vise à soutenir financièrement les nouveaux parents en leur offrant un revenu de remplacement à leur salaire habituel.
Régime volontaire d'épargne-retraite, Régime qui permet à tous les travailleurs qui n'ont pas de fonds de pension d'avoir accès à un régime d'épargne-retraite collectif.
Rémunération, Ensemble des revenus et des avantages qui proviennent à la fois du salaire et des avantages sociaux.
Rendement, Revenu que l'argent investi peut générer. Exemples: Intérêts, gain en capital, dividendes, profits.
Rendement, Performance au travail, soit une mesure de l'efficacité des employés à accomplir leurs täches.
Réseautage, Ensemble des activités qui ont pour but de multiplier les contacts personnels ou professionnels.
Responsabilité, Tâche pour laquelle les travailleurs possèdent un pouvoir de décision, ainsi que celle pour laquelle ils doivent rendre des comptes.
Retenue à la source, Somme déduite du salaire pour couvrir les impôts, les cotisations et toute autre contribution à laquelle les employés souscrivent.
Revenu, Ensemble des montants reçus: salaire, prêt, bourse, cadeaux, etc.
Revenu imposable, Partie du revenu annuel sur laquelle on doit payer de l'impôt.
Salaire, Montant d'argent que les employeurs versent à leurs employés en échange de leur travail.
Salaire à la commission, Mode de rémunération qui combine généralement un salaire de base et des commis-sions, qui viennent bonifier les revenus totaux.
Salaire au pourboire, Mode de rémunération comprenant un salaire de base, auquel s'ajoute un montant (le pour-boire) remis directement par les clients.
Salaire brut, Montant du salaire avant le prélèvement des impôts et des autres retenues.
Salaire fixe, Mode de rémunération au moyen d'un montant annuel prévu et, la plupart du temps, inscrit dans un contrat de travail ou une convention collective.
Salaire horaire, Mode de rémunération selon un taux horaire, soit un montant fixe par heure de travail.
Salaire minimum, Valeur minimale du salaire horaire, telle qu'elle a été fixée par un gouvernement.
Salaire net, Montant du salaire après le prélèvement des impôts et des autres retenues.
Sécurité, Dans le domaine financier, caractéristique d'un placement qui offre une bonne garantie que l'argent investi ne sera pas perdu.
Service essentiel, Service jugé indispensable au maintien de la santé et de la sécurité du public.
Société d'assurance-dépôts du Canada, Société d'État fournissant une assurance contre la perte des dépôts assurables détenus dans les institutions financières membres.
Surplus, Situation dans laquelle les dépenses sont inférieures aux revenus.
Syndicat, Regroupement de travailleurs qui s'organisent pour améliorer leurs conditions de travail.
Taux d'imposition, Taux fixé par une loi fiscale pour le prélèvement des impôts.
Taux d'intérêt, Pourcentage annuel correspondant aux intérêts versés sur un emprunt ou sur un placement.
Taux effectif d'imposition, Taux d'imposition moyen.
Taux marginal d'imposition, Taux d'imposition qu'on paie sur les derniers dollars gagnés au cours d'une année.
Taxe d'accise, Taxe touchant la consommation de certains produits, comme l'alcool, le tabac et les produits pétroliers.
Taxe de vente du Québec, Taxe provinciale perçue sur la plupart des biens et des services.
Taxe sur les produits et services, Taxe fédérale perçue sur la plupart des biens et des services.
Taux d'intérêt, Pourcentage annuel correspondant aux intérêts versés sur un emprunt ou sur un placement.
Taux effectif d'imposition, Taux d'imposition moyen.
Taux marginal d'imposition, Taux d'imposition qu'on paie sur les derniers dollars gagnés au cours d'une année.
Taxe d'accise, Taxe touchant la consommation de certains produits, comme l'alcool, le tabac et les produits pétroliers.
Taxe de vente du Québec, Taxe provinciale perçue sur la plupart des biens et des services.
Taxe sur les produits et services, Taxe fédérale perçue sur la plupart des biens et des services.
Valeur immobilière, Outil d'épargne désignant les investissements dans l'immobilier (maison, immeuble, terrain).
Valeur mobilière, Placement qu'on peut vendre ou échanger sur un marché qu'on appelle le « marché des valeurs mobilières ». Exemples: obligations, actions.
Valeur nette, Dans un bilan, différence entre T'actif et le past.
Vente d'actifs, Solution au surendettement qui consiste à mettre en vente certains actifs et à utiliser l'argent ainsi obtenu pour rembourser une partie des dettes.
